project_id,project_length_days,team_size,budget,complexity_score,resources_score,on_time_delivery,risk_score,client_satisfaction_score,client_satisfaction_label
P0085,94,5,348591.82,8,9,1,10,69.83,Medium
P0086,356,15,130116.19,7,2,0,2,17.18,Low
P0087,38,15,482481.64,5,2,1,6,100.0,High
P0088,158,20,116898.23,7,8,0,6,59.27,Medium
P0089,165,22,236580.86,3,9,1,1,100.0,High
P0090,92,10,88407.35,2,7,1,7,100.0,High
P0091,168,11,498593.41,6,3,1,8,84.67,High
P0092,110,9,275987.75,2,9,0,2,100.0,High
P0093,192,3,317923.26,3,3,1,8,76.85,High
P0094,318,5,80184.41,6,5,1,9,9.36,Low
P0095,290,15,387482.21,5,9,1,6,80.68,High
P0096,260,19,144457.52,8,3,1,5,29.41,Low
P0097,70,3,454124.43,9,7,1,9,82.93,High
P0098,57,8,142312.84,3,1,1,9,66.82,Medium
P0099,164,23,135809.47,10,4,0,1,52.88,Medium
P0100,230,8,66447.35,3,4,1,3,70.6,High
P0101,357,14,262430.13,3,7,1,9,45.22,Low
P0102,297,15,304178.51,6,8,1,2,73.14,High
P0103,62,15,79568.89,1,1,0,4,94.93,High
P0104,77,17,398987.43,7,5,0,4,100.0,High
P0105,91,23,253979.98,1,7,1,2,100.0,High
P0106,245,18,285975.62,5,4,1,3,67.17,Medium
P0107,322,24,248343.24,10,4,1,3,46.98,Low
P0108,128,23,230343.38,8,4,1,1,88.74,High
P0109,201,13,301838.15,4,6,0,6,76.97,High
P0110,243,7,119858.11,5,7,1,8,54.9,Medium
P0111,64,6,131867.66,4,2,1,3,99.36,High
P0112,256,5,437803.53,4,5,1,5,76.19,High
P0113,130,21,475751.96,8,4,0,1,97.05,High
P0114,160,22,217989.19,2,3,1,10,81.35,High
P0115,286,20,171835.1,1,7,1,7,72.69,High
P0116,34,17,339799.79,3,6,1,10,100.0,High
P0117,247,11,233930.38,9,7,0,1,56.8,Medium
P0118,284,19,61423.86,4,5,1,9,30.83,Low
P0119,312,16,120268.67,10,6,1,8,10.33,Low
P0120,236,17,372187.5,5,5,1,7,74.25,High
P0121,44,3,346515.77,2,7,1,10,100.0,High
P0122,71,23,62193.2,4,2,1,7,71.65,High
P0123,208,24,149887.47,2,5,1,5,92.31,High
P0124,92,24,153983.66,2,6,1,5,100.0,High
P0125,260,5,352351.73,4,6,1,5,77.97,High
P0126,270,18,58869.74,6,5,1,1,49.9,Low
P0127,81,13,96848.86,7,10,0,8,74.08,High
P0128,125,14,409962.24,10,7,1,1,100.0,High
P0129,251,12,130345.1,3,10,0,4,73.87,High
P0130,260,18,343735.75,3,8,1,9,76.36,High
P0131,266,10,157182.25,10,7,1,9,15.82,Low
P0132,172,8,94748.63,6,5,1,5,57.16,Medium
P0133,200,14,159427.49,3,1,1,4,53.64,Medium
P0134,58,23,375020.12,2,5,1,3,100.0,High
P0135,65,10,435063.41,8,10,1,3,100.0,High
P0136,42,6,423598.94,5,2,1,5,100.0,High
P0137,189,10,228732.59,1,5,0,10,57.28,Medium
P0138,356,20,350638.31,3,5,1,1,87.11,High
P0139,216,7,142242.93,10,2,0,5,17.22,Low
P0140,272,11,181916.48,8,5,1,6,35.05,Low
P0141,115,6,453351.12,4,4,1,7,100.0,High
P0142,313,24,55850.87,7,1,1,9,0.57,Low
P0143,95,19,88478.84,10,3,1,3,58.92,Medium
P0144,199,11,143548.81,2,1,1,2,80.74,High
P0145,74,3,61939.49,7,5,1,3,64.46,Medium
P0146,91,23,131645.95,5,4,1,9,70.21,High
P0147,163,22,312368.7,5,7,1,7,100.0,High
P0148,313,15,239641.05,6,5,1,9,39.04,Low
P0149,57,18,451702.27,9,10,0,2,100.0,High
P0150,137,15,417849.6,6,4,0,5,81.23,High
P0151,73,16,203817.81,8,2,1,4,75.63,High
P0152,315,5,166740.55,7,4,1,2,40.64,Low
P0153,360,8,220861.58,9,2,1,9,0.0,Low
P0154,157,20,315632.72,4,8,1,9,91.89,High
P0155,260,21,170628.64,2,3,0,6,52.39,Medium
P0156,219,7,330867.01,7,9,1,6,78.82,High
P0157,254,17,234235.24,6,4,1,8,36.14,Low
P0158,312,4,298421.23,1,6,1,6,69.7,Medium
P0159,150,12,246256.94,9,10,1,1,92.06,High
P0160,145,20,182509.59,9,5,1,4,74.6,High
P0161,262,15,476803.99,2,10,0,7,100.0,High
P0162,288,7,393622.61,3,1,1,2,73.73,High
P0163,227,3,113050.93,5,9,1,9,48.27,Low
P0164,166,24,440810.59,5,1,0,8,71.74,High
P0165,347,3,269344.04,1,8,1,8,61.63,Medium
P0166,194,20,452548.5,8,9,1,7,88.27,High
P0167,254,17,409934.87,8,9,1,4,88.37,High
P0168,336,19,241346.08,4,1,1,2,57.42,Medium
P0169,263,13,60111.19,7,2,0,3,37.81,Low
P0170,201,23,170904.81,10,1,1,6,31.73,Low
P0171,181,24,293735.4,3,10,0,5,100.0,High
P0172,344,19,335065.2,6,2,1,8,29.61,Low
P0173,189,15,166049.46,10,10,0,6,45.32,Low
P0174,125,3,112710.23,10,8,1,6,34.86,Low
P0175,262,4,425718.61,9,5,0,1,61.3,Medium
P0176,209,11,492980.98,1,7,1,4,100.0,High
P0177,142,5,286560.58,5,2,0,5,66.74,Medium
P0178,347,3,127255.68,4,8,1,3,40.86,Low
P0179,81,23,172538.3,8,6,1,9,65.14,Medium
P0180,297,18,58275.8,1,8,0,1,61.88,Medium
P0181,324,8,461434.46,9,1,1,6,35.84,Low
P0182,142,19,102987.99,6,1,0,6,39.17,Low
P0183,130,7,309432.41,4,7,1,10,80.7,High
P0184,142,7,173324.85,9,8,1,5,62.06,Medium
P0185,110,8,299380.1,5,3,1,5,94.98,High
P0186,216,5,343139.17,5,5,1,10,55.04,Medium
P0187,142,23,423383.81,5,1,1,5,100.0,High
P0188,31,7,142889.57,1,7,1,6,100.0,High
P0189,159,23,54948.12,1,5,1,8,84.59,High
P0190,249,7,111598.53,8,8,1,2,51.06,Medium
P0191,83,12,455008.39,8,8,1,6,100.0,High
P0192,253,12,443250.53,6,9,1,1,95.2,High
P0193,254,21,318835.9,4,7,1,4,95.07,High
P0194,155,19,320232.59,2,1,1,10,72.99,High
P0195,159,23,349266.5,2,3,1,3,100.0,High
P0196,82,16,128917.08,9,8,0,9,53.54,Medium
P0197,201,11,461485.38,5,3,0,3,88.46,High
P0198,247,16,238446.74,4,8,1,6,78.68,High
P0199,189,3,222412.34,10,1,1,1,38.61,Low
P0200,227,21,283512.97,1,5,0,6,90.9,High
P0201,276,15,71134.69,7,4,1,4,28.91,Low
P0202,353,15,124827.52,3,5,1,8,26.55,Low
P0203,232,6,382115.13,6,8,1,9,67.2,Medium
P0204,213,3,87259.4,5,10,1,4,65.79,Medium
P0205,152,19,321418.45,5,4,1,10,73.58,High
P0206,284,10,160407.1,5,4,1,10,12.46,Low
P0207,323,4,225183.03,1,3,0,6,42.14,Low
P0208,309,10,179912.18,1,7,0,1,76.28,High
P0209,354,9,210052.72,3,3,1,4,41.96,Low
P0210,127,4,373570.66,10,3,1,7,45.39,Low
P0211,227,24,183704.77,4,10,0,1,94.71,High
P0212,269,24,304882.09,5,5,1,8,61.3,Medium
P0213,173,5,264222.68,2,5,1,10,68.49,Medium
P0214,126,20,348652.02,8,6,1,6,78.48,High
P0215,230,14,471573.38,2,8,0,5,100.0,High
P0216,153,3,379657.44,9,10,1,10,61.27,Medium
P0217,216,24,146723.17,2,6,0,9,59.16,Medium
P0218,355,14,64032.41,9,1,0,2,0.0,Low
P0219,288,7,168018.82,7,8,1,5,51.08,Medium
P0220,177,19,317785.07,8,8,1,6,77.35,High
P0221,281,18,73141.62,2,9,1,7,63.21,Medium
P0222,176,17,273364.81,7,9,1,5,91.64,High
P0223,177,17,318579.28,6,2,1,9,54.98,Medium
P0224,228,7,200409.75,4,2,1,1,76.16,High
P0225,337,23,396910.49,7,3,1,7,34.08,Low
P0226,157,16,97969.21,4,1,0,10,35.35,Low
P0227,68,4,83812.0,2,4,1,7,89.44,High
P0228,158,13,377684.94,10,4,1,4,68.37,Medium
P0229,296,21,272971.09,7,9,1,9,54.39,Medium
P0230,180,9,359781.08,8,9,1,5,92.45,High
P0231,327,8,245672.3,2,9,1,4,74.49,High
P0232,128,4,160880.91,5,10,1,7,78.6,High
P0233,292,8,418596.04,1,7,1,4,94.57,High
P0234,281,20,409737.15,7,2,1,3,65.23,Medium
P0235,173,4,362613.41,8,10,1,9,64.38,Medium
P0236,141,20,172465.31,6,5,1,8,61.55,Medium
P0237,89,17,315603.8,5,4,1,1,100.0,High
P0238,31,21,212438.25,6,8,0,7,91.79,High
P0239,333,4,91211.93,2,2,1,9,16.61,Low
P0240,283,22,462791.11,1,6,1,8,96.27,High
P0241,169,8,111568.38,7,5,1,8,48.45,Low
P0242,66,3,477606.81,7,2,1,6,91.14,High
P0243,189,17,250702.6,10,10,1,4,75.08,High
P0244,38,12,133309.82,10,1,1,8,49.09,Low
P0245,262,21,293855.43,2,8,1,3,100.0,High
P0246,128,19,442825.63,2,2,1,9,99.39,High
P0247,176,7,379501.2,1,7,1,2,100.0,High
P0248,333,6,412952.52,10,9,1,2,52.59,Medium
P0249,237,12,346452.52,8,9,1,7,75.83,High
P0250,160,19,361524.45,8,8,0,10,68.37,Medium
P0251,181,12,432138.04,1,10,1,4,100.0,High
P0252,83,19,162350.6,8,9,1,10,79.59,High
P0253,149,22,270241.23,9,2,1,8,51.11,Medium
P0254,190,7,149544.25,4,6,1,9,57.48,Medium
P0255,145,4,494450.6,1,4,1,7,100.0,High
P0256,104,8,474826.7,1,4,1,5,100.0,High
P0257,142,23,67742.07,3,5,1,8,73.93,High
P0258,133,4,367508.83,5,3,1,4,88.83,High
P0259,283,15,466361.74,5,1,1,2,86.0,High
P0260,256,13,131258.91,9,8,1,6,39.61,Low
P0261,141,13,305575.35,10,5,1,9,55.6,Medium
P0262,128,18,461969.73,2,3,1,1,100.0,High
P0263,182,13,65275.69,2,10,1,10,64.69,Medium
P0264,223,21,363839.12,6,7,0,7,78.03,High
P0265,339,17,183807.05,9,7,1,10,7.17,Low
P0266,192,18,465978.29,1,1,1,9,94.62,High
P0267,237,13,486976.21,9,9,1,10,65.57,Medium
P0268,198,24,474919.92,9,2,0,9,51.48,Medium
P0269,190,18,263396.4,9,5,1,10,45.52,Low
P0270,97,10,437919.19,5,5,1,3,100.0,High
P0271,318,6,430047.23,9,8,1,5,51.48,Medium
P0272,306,10,193595.21,4,8,1,8,55.29,Medium
P0273,333,6,423011.96,2,7,1,8,67.57,Medium
P0274,164,5,66653.44,6,7,1,4,64.05,Medium
P0275,224,5,318321.45,4,6,0,1,82.59,High
P0276,157,20,153503.98,6,6,1,1,88.58,High
P0277,62,21,104255.1,3,9,1,4,100.0,High
P0278,205,21,84628.94,6,6,0,6,61.77,Medium
P0279,51,23,363329.95,2,2,1,8,100.0,High
P0280,267,7,202943.73,2,2,1,6,59.87,Medium
P0281,187,20,376145.05,9,5,1,9,56.58,Medium
P0282,67,12,79410.35,7,4,1,9,53.89,Medium
P0283,259,24,191880.65,3,2,1,2,85.98,High
P0284,80,23,292771.08,1,3,0,10,88.01,High
P0285,293,8,405825.42,8,7,1,1,67.89,Medium
P0286,312,3,193438.63,6,8,1,2,54.61,Medium
P0287,56,7,331651.12,7,6,1,5,100.0,High
P0288,255,11,448689.99,9,5,0,4,57.89,Medium
P0289,306,14,327138.43,5,1,0,4,45.12,Low
P0290,315,16,154831.76,1,8,0,9,46.85,Low
P0291,126,4,60980.35,10,3,1,8,24.63,Low
P0292,313,19,441544.49,7,6,1,6,49.29,Low
P0293,346,16,59571.23,5,3,1,1,34.2,Low
P0294,333,15,443615.75,3,7,1,2,95.79,High
P0295,176,11,288021.71,9,7,1,6,66.82,Medium
P0296,33,17,472580.46,1,9,1,2,100.0,High
P0297,64,24,409452.46,1,5,1,10,100.0,High
P0298,221,17,499070.35,1,8,1,5,100.0,High
P0299,78,13,207820.32,3,10,1,5,100.0,High
P0300,46,18,395234.73,6,10,1,6,100.0,High
P0301,201,19,230868.91,10,8,1,6,59.09,Medium
P0302,249,6,265944.03,3,1,1,6,53.98,Medium
P0303,187,3,332377.46,8,5,1,2,80.49,High
P0304,75,10,443154.7,10,3,1,10,63.29,Medium
P0305,35,19,492837.56,2,1,1,3,100.0,High
P0306,128,5,395723.04,9,4,1,6,75.73,High
P0307,262,22,237995.05,3,8,1,8,69.98,Medium
P0308,66,17,239610.65,5,3,0,1,100.0,High
P0309,309,17,381912.04,10,10,1,1,65.99,Medium
P0310,331,24,157449.72,8,2,1,2,43.44,Low
P0311,210,16,99713.35,2,9,1,6,88.2,High
P0312,124,16,209579.97,6,10,1,9,95.11,High
P0313,128,4,179257.55,5,5,1,4,85.82,High
P0314,217,15,183338.65,10,7,1,3,48.79,Low
P0315,145,16,155123.49,9,2,0,8,30.06,Low
P0316,220,21,68941.94,5,9,1,10,45.0,Low
P0317,282,9,58043.27,2,9,0,9,44.59,Low
P0318,190,5,494475.08,5,4,1,5,86.44,High
P0319,285,17,242497.91,4,4,1,9,39.4,Low
P0320,352,16,222946.99,7,6,0,2,30.05,Low
P0321,157,13,355841.28,6,10,1,3,100.0,High
P0322,47,17,148214.25,2,10,1,7,100.0,High
P0323,310,15,477482.53,5,10,1,7,76.94,High
P0324,252,20,403855.26,7,6,1,6,82.93,High
P0325,83,8,90234.95,7,1,1,6,54.67,Medium
P0326,87,5,237911.35,5,9,1,2,100.0,High
P0327,352,21,445603.24,9,2,1,10,27.81,Low
P0328,203,17,475129.41,4,5,1,6,100.0,High
P0329,309,7,260330.68,3,9,1,4,71.39,High
P0330,143,12,326035.13,4,4,1,3,93.9,High
P0331,317,9,125165.28,5,3,1,2,37.39,Low
P0332,180,19,496025.88,6,7,1,1,100.0,High
P0333,156,9,154252.27,3,6,1,5,77.25,High
P0334,184,24,474229.3,2,8,1,2,100.0,High
P0335,302,14,342340.99,4,3,0,2,69.8,Medium
P0336,133,19,323481.56,5,5,1,7,92.47,High
P0337,328,15,280709.83,4,10,1,8,62.97,Medium
P0338,275,22,153801.42,3,4,1,10,46.06,Low
P0339,205,6,129437.61,8,4,1,8,28.04,Low
P0340,68,12,149218.79,10,4,1,4,73.77,High
P0341,199,5,133897.22,4,10,1,1,87.89,High
P0342,276,11,400813.01,2,8,1,7,89.78,High
P0343,55,15,207556.37,2,6,1,1,100.0,High
P0344,335,20,76029.2,1,3,0,4,32.23,Low
P0345,42,17,486096.18,4,10,0,8,100.0,High
P0346,345,6,447703.65,10,5,0,2,39.69,Low
P0347,342,17,467488.53,9,6,1,6,57.4,Medium
P0348,65,24,497708.52,7,5,1,6,100.0,High
P0349,202,4,128252.86,10,6,1,9,23.82,Low
P0350,49,17,228308.91,7,8,1,5,100.0,High
P0351,350,10,391207.31,7,7,1,10,32.92,Low
P0352,293,10,363209.28,8,5,1,4,46.06,Low
P0353,171,19,119253.16,1,10,1,5,100.0,High
P0354,172,14,417124.91,10,6,1,10,61.56,Medium
P0355,121,21,150998.26,10,4,1,5,62.09,Medium
P0356,351,12,150717.93,8,9,1,8,11.84,Low
P0357,317,11,291638.49,4,4,1,10,38.53,Low
P0358,244,7,316822.97,4,1,0,8,41.42,Low
P0359,80,8,311038.79,4,7,1,2,100.0,High
P0360,182,22,91169.08,6,7,1,7,60.98,Medium
P0361,215,4,444857.39,7,4,1,8,62.61,Medium
P0362,92,15,169520.02,6,3,1,6,77.54,High
P0363,219,8,108281.71,1,8,1,5,78.42,High
P0364,154,7,449936.64,8,5,1,9,70.37,High
P0365,179,3,480043.17,10,10,1,3,91.36,High
P0366,343,23,437957.43,7,7,1,10,39.86,Low
P0367,87,24,414282.23,6,4,1,4,100.0,High
P0368,334,23,344858.89,6,4,1,9,31.97,Low
P0369,209,8,297885.82,5,8,1,6,83.49,High
P0370,199,8,89144.04,6,8,1,8,48.49,Low
P0371,355,18,233803.95,9,2,1,7,6.2,Low
P0372,300,6,217709.83,10,2,0,2,21.07,Low
P0373,83,13,166889.2,9,3,1,3,71.53,High
P0374,130,11,375539.05,10,3,1,1,77.1,High
P0375,293,5,273144.08,8,1,1,9,7.02,Low
P0376,82,21,86470.8,10,3,1,7,56.11,Medium
P0377,89,10,149082.44,9,6,1,1,79.76,High
P0378,137,7,357466.44,10,8,1,3,86.62,High
P0379,34,6,84258.89,8,10,0,4,83.55,High
P0380,132,8,433043.11,8,6,1,4,97.45,High
P0381,225,4,272815.94,1,5,1,5,97.33,High
P0382,291,22,266263.96,10,4,1,3,37.94,Low
P0383,76,13,316583.5,5,3,1,3,100.0,High
P0384,340,6,421106.43,4,4,1,1,70.51,High
P0385,337,17,206514.14,2,7,1,7,56.67,Medium
P0386,173,8,355107.27,8,1,1,10,45.01,Low
P0387,298,24,304579.38,3,7,1,1,94.5,High
P0388,153,19,170162.72,4,1,1,2,90.28,High
P0389,135,8,445383.49,7,2,0,4,78.31,High
P0390,187,21,408841.71,10,4,1,4,68.64,Medium
P0391,176,4,346303.33,9,1,0,5,31.47,Low
P0392,174,17,432761.78,2,9,1,2,100.0,High
P0393,149,13,440282.39,3,6,0,4,100.0,High
P0394,348,10,368763.34,4,1,1,1,62.43,Medium
P0395,304,21,426656.0,10,1,0,2,48.3,Low
P0396,121,15,363862.16,1,6,0,1,100.0,High
P0397,87,14,356063.35,7,4,1,10,70.81,High
P0398,258,7,328375.12,2,4,0,10,50.18,Medium
P0399,146,8,388722.49,5,6,1,4,100.0,High
P0400,347,24,121372.3,1,7,1,4,78.91,High
P0401,308,6,446391.84,3,9,1,7,79.67,High
P0402,156,21,442329.59,2,10,1,10,100.0,High
P0403,158,22,63161.28,1,5,1,9,81.07,High
P0404,87,3,421617.54,7,9,1,9,85.33,High
P0405,151,22,107991.44,5,4,1,5,70.44,High
P0406,30,19,200803.48,1,10,1,10,100.0,High
P0407,268,14,384578.72,6,2,0,1,65.15,Medium
P0408,319,17,122341.95,5,3,1,1,35.69,Low
P0409,125,3,418085.16,3,1,1,6,92.3,High
P0410,155,16,424460.38,7,6,1,2,100.0,High
P0411,147,8,278360.48,10,6,1,8,50.07,Medium
P0412,77,7,52873.64,9,1,1,9,30.36,Low
P0413,118,13,179167.16,9,3,1,4,66.11,Medium
P0414,266,6,327617.11,9,5,1,5,41.99,Low
P0415,301,15,491533.78,2,3,0,8,63.86,Medium
P0416,218,13,334316.09,3,10,1,3,100.0,High
P0417,221,5,166911.61,7,3,1,5,40.88,Low
P0418,98,3,335302.57,5,10,1,3,100.0,High
P0419,307,8,292993.42,2,3,1,10,42.98,Low
P0420,276,20,400930.43,3,5,1,3,93.15,High
P0421,105,12,98141.29,10,5,1,3,63.97,Medium
P0422,183,7,392462.56,6,4,1,7,74.54,High
P0423,173,12,293569.96,7,1,1,7,46.48,Low
P0424,115,14,483346.4,9,5,0,7,75.19,High
P0425,214,4,203842.47,1,10,0,10,65.85,Medium
P0426,314,15,334679.85,7,5,1,8,36.5,Low
P0427,249,10,469412.65,8,4,1,5,69.33,Medium
P0428,98,4,96129.38,3,6,1,5,85.48,High
P0429,76,22,471752.82,4,10,1,4,100.0,High
P0430,123,3,359548.58,10,4,1,7,55.45,Medium
P0431,267,7,80526.68,6,7,1,10,10.59,Low
P0432,233,11,185433.61,10,7,1,4,34.39,Low
P0433,247,19,368677.44,7,2,1,2,76.72,High
P0434,68,11,80307.77,4,3,1,4,86.47,High
P0435,129,13,311976.71,8,1,0,8,47.69,Low
P0436,318,17,205647.38,5,8,0,9,32.54,Low
P0437,283,8,329411.98,1,9,1,3,100.0,High
P0438,251,5,70583.92,4,4,1,7,39.2,Low
P0439,52,19,442191.56,3,6,0,9,100.0,High
P0440,279,7,488070.04,9,9,1,4,79.11,High
P0441,39,14,485995.03,8,6,1,10,99.46,High
P0442,275,20,387343.32,1,9,1,3,100.0,High
P0443,354,16,108538.81,6,4,1,5,24.22,Low
P0444,129,23,391218.44,9,8,1,1,100.0,High
P0445,319,13,61064.11,7,9,0,3,29.51,Low
P0446,209,11,59955.6,4,4,0,8,32.78,Low
P0447,252,4,195624.6,1,5,1,8,60.78,Medium
P0448,279,14,269889.44,2,8,1,4,88.46,High
P0449,176,5,396683.34,5,10,0,2,98.03,High
P0450,125,5,357482.92,5,6,1,8,88.43,High
P0451,286,3,250656.22,8,7,0,8,23.14,Low
P0452,354,10,173132.0,6,3,1,10,10.73,Low
P0453,33,24,498706.03,8,7,1,4,100.0,High
P0454,45,10,241781.59,2,8,1,3,100.0,High
P0455,309,13,253124.16,3,10,1,2,84.55,High
P0456,276,11,123630.72,6,6,1,9,34.32,Low
P0457,287,7,407664.3,10,10,1,1,75.51,High
P0458,189,16,362157.0,3,9,1,7,100.0,High
P0459,181,5,149346.33,6,6,1,5,58.96,Medium
P0460,207,23,87071.47,6,9,1,8,56.82,Medium
P0461,192,7,356224.69,2,4,0,4,91.56,High
P0462,62,7,344530.05,7,8,0,7,82.85,High
P0463,208,21,172966.79,2,4,1,5,90.52,High
P0464,130,16,477888.6,6,2,0,5,96.03,High
P0465,297,6,117976.05,1,10,1,9,53.83,Medium
P0466,352,15,244550.66,3,9,1,9,46.24,Low
P0467,94,12,474627.16,2,5,0,9,95.99,High
P0468,197,20,238877.29,7,4,1,6,55.23,Medium
P0469,359,10,337336.68,4,2,1,6,44.58,Low
P0470,72,10,228917.48,8,1,0,5,60.07,Medium
P0471,73,9,173396.84,6,7,1,9,76.51,High
P0472,314,10,492789.94,10,6,0,10,12.25,Low
P0473,41,16,234200.3,4,2,0,8,78.44,High
P0474,124,21,452344.64,5,8,1,7,100.0,High
P0475,331,8,153479.57,9,4,0,7,0.0,Low
P0476,282,3,145897.12,7,8,1,6,28.93,Low
P0477,271,17,64010.34,10,7,1,5,24.54,Low
P0478,64,3,343250.07,9,5,1,4,83.77,High
P0479,244,19,215836.85,7,10,0,3,70.75,High
P0480,119,3,438961.21,1,10,1,3,100.0,High
P0481,293,17,262944.46,8,8,1,6,52.31,Medium
P0482,122,4,485687.04,4,9,1,4,100.0,High
P0483,119,16,133486.48,3,5,1,6,84.51,High
P0484,144,23,440880.43,7,10,1,3,100.0,High
P0485,134,10,399468.58,3,5,1,4,100.0,High
P0486,225,10,396914.83,8,2,1,9,36.68,Low
P0487,343,21,430152.45,6,5,1,5,65.11,Medium
P0488,143,9,392460.8,5,3,0,7,74.38,High
P0489,104,21,331799.14,4,7,1,10,95.64,High
P0490,246,8,109060.19,8,10,1,2,57.91,Medium
P0491,306,8,64636.78,8,5,0,5,8.53,Low
P0492,278,5,464381.53,1,8,1,9,91.59,High
P0493,193,9,327492.64,9,1,0,3,41.1,Low
P0494,221,21,408441.78,5,3,1,9,71.17,High
P0495,256,10,266685.06,4,3,0,6,55.03,Medium
P0496,206,12,102788.69,6,9,1,4,67.9,Medium
P0497,128,22,106333.61,6,5,1,7,62.03,Medium
P0498,65,17,358504.38,2,9,1,8,100.0,High
P0499,125,17,243637.65,8,9,0,6,73.46,High
P0500,181,3,140236.13,7,1,1,5,43.1,Low
